Path,Coverage,SHA,Content_SHA256,Limit
.agents/board.json,MANUAL_TARGETED_REVIEW,244a01ce8b2d751e2f35699c82a4c758321691f8,4959b1e62cf5e4a5f6047454863930616bd919a377bc36218f8dfc4cda8f7683,Not exhaustive behavioral review
.dockerignore,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,8c09f70c4dc9b2fbd2c2586481ecf896c9c169cbb59259e31d9d0738c4b38ae6,Not exhaustive behavioral review
.env.example,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,934044d4a15d8f466fca74f739a41f51c926059c6b83d6e9e14db1606c598111,Not exhaustive behavioral review
.github/DEPENDENCY_MATRIX.md,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,eac2d3211529b727f3194efd9fa7eae7e1ce6512469857e2b0771b70455ca5fe,Not exhaustive behavioral review
.github/workflows/ci.yml,MANUAL_TARGETED_REVIEW,244a01ce8b2d751e2f35699c82a4c758321691f8,73d90e1d44982f92a1879cf19b68b4c67579ca07490bb94186932a2c326f5881,Not exhaustive behavioral review
.github/workflows/maintenance.yml,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,eede1ec907846d9f870426beb871a2a1736a3f3c2b17039a8b7f3896347e0970,Not exhaustive behavioral review
.gitignore,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,fbe6d9a877e9f5c9957923928c4b151329f000891cc8c30adc993c6037b28fdd,Not exhaustive behavioral review
.nexus/continuum.json,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,08dca0ddf8c756d9320fbd653f7214d26954ed843623beb9c3d09c0b6556fe4b,Not exhaustive behavioral review
.pre-commit-config.yaml,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,9a335f7176da0cf81729b682004310678648f6f105a63f4d0ac5c907db36b6d0,Not exhaustive behavioral review
AGENTS.md,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,e714267c5e4bef60b5d7b829a42d5c21e626edc8243e67d60cade75d32ec3c51,Not exhaustive behavioral review
CHANGELOG.md,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,801fbf95c52c7666047cbb75a93cf5b7d0dc0b05904271cbb3f4c362ab1dfb4b,Not exhaustive behavioral review
CONTRIBUTING.md,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,86e3566163b181e3efde7c1f027f80be0608ae6b8ebf92b627c178c25eac82ac,Not exhaustive behavioral review
COORDINATION_2026-09-21.md,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,bcdba3260814e1f81d6f40210fd99263d5ba549acf1c54db05d658014b855c59,Not exhaustive behavioral review
Dockerfile,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,07743d608932a19c73d9628644451a5a79ce9b6421b195334dc1eaab9ec90a61,Not exhaustive behavioral review
LICENSE,NOT_REVIEWED,244a01ce8b2d751e2f35699c82a4c758321691f8,1ff29e42441bd6762d5f0b12d3e4d345e8b288ee65ef371f932afdda665bf876,Not exhaustive behavioral review
Makefile,MANUAL_TARGETED_REVIEW,244a01ce8b2d751e2f35699c82a4c758321691f8,eee6f7879160345557721f0655423f519a62b0e85beb7750e1244111bc58c4d2,Not exhaustive behavioral review
